customer_id,company_name,contact_name,contact_title
VINET,"Vins et alcools Chevalier","Paul Henriot","Accounting Manager"
WARTH,"Wartian Herkku","Pirkko Koskitalo","Accounting Manager"
ERNSH,"Ernst Handel","Roland Mendel","Sales Manager"
RICSU,"Richter Supermarkt","Michael Holz","Sales Manager"
FOLKO,"Folk och fä HB","Maria Larsson",Owner
GROSR,GROSELLA-Restaurante,"Manuel Pereira",Owner
RATTC,"Rattlesnake Canyon Grocery","Paula Wilson","Assistant Sales Representative"
TOMSP,"Toms Spezialitäten","Karin Josephs","Marketing Manager"
BERGS,"Berglunds snabbköp","Christina Berglund","Order Administrator"
CHOPS,"Chop-suey Chinese","Yang Wang",Owner
MAGAA,"Magazzini Alimentari Riuniti","Giovanni Rovelli","Marketing Manager"
HANAR,"Hanari Carnes","Mario Pontes","Accounting Manager"
FRANK,Frankenversand,"Peter Franken","Marketing Manager"
OTTIK,"Ottilies Käseladen","Henriette Pfalzheim",Owner
LILAS,LILA-Supermercado,"Carlos González","Accounting Manager"
VICTE,"Victuailles en stock","Mary Saveley","Sales Agent"
BLONP,"Blondesddsl père et fils","Frédérique Citeaux","Marketing Manager"
LEHMS,"Lehmanns Marktstand","Renate Messner","Sales Representative"
HILAA,HILARION-Abastos,"Carlos Hernández","Sales Representative"
SUPRD,"Suprêmes délices","Pascale Cartrain","Accounting Manager"
CENTC,"Centro comercial Moctezuma","Francisco Chang","Marketing Manager"
QUEDE,"Que Delícia","Bernardo Batista","Accounting Manager"
WHITC,"White Clover Markets","Karl Jablonski",Owner
MORGK,"Morgenstern Gesundkost","Alexander Feuer","Marketing Assistant"
WELLI,"Wellington Importadora","Paula Parente","Sales Manager"
SPLIR,"Split Rail Beer & Ale","Art Braunschweiger","Sales Manager"
QUICK,QUICK-Stop,"Horst Kloss","Accounting Manager"
ROMEY,"Romero y tomillo","Alejandra Camino","Accounting Manager"
TORTU,"Tortuga Restaurante","Miguel Angel Paolino",Owner
RICAR,"Ricardo Adocicados","Janete Limeira","Assistant Sales Agent"
REGGC,"Reggiani Caseifici","Maurizio Moroni","Sales Associate"
BSBEV,"B's Beverages","Victoria Ashworth","Sales Representative"
COMMI,"Comércio Mineiro","Pedro Afonso","Sales Associate"
TRADH,"Tradição Hipermercados","Anabela Domingues","Sales Representative"
HUNGO,"Hungry Owl All-Night Grocers","Patricia McKenna","Sales Associate"
WANDK,"Die Wandernde Kuh","Rita Müller","Sales Representative"
GODOS,"Godos Cocina Típica","José Pedro Freyre","Sales Manager"
OLDWO,"Old World Delicatessen","Rene Phillips","Sales Representative"
LONEP,"Lonesome Pine Restaurant","Fran Wilson","Sales Manager"
ANATR,"Ana Trujillo Emparedados y helados","Ana Trujillo",Owner
THEBI,"The Big Cheese","Liz Nixon","Marketing Manager"
DUMON,"Du monde entier","Janine Labrune",Owner
ISLAT,"Island Trading","Helen Bennett","Marketing Manager"
PERIC,"Pericles Comidas clásicas","Guillermo Fernández","Sales Representative"
KOENE,"Königlich Essen","Philip Cramer","Sales Associate"
SAVEA,"Save-a-lot Markets","Jose Pavarotti","Sales Representative"
BOLID,"Bólido Comidas preparadas","Martín Sommer",Owner
FURIB,"Furia Bacalhau e Frutos do Mar","Lino Rodriguez","Sales Manager"
BONAP,"Bon app'","Laurence Lebihan",Owner
MEREP,"Mère Paillarde","Jean Fresnière","Marketing Assistant"
PRINI,"Princesa Isabel Vinhos","Isabel de Castro","Sales Representative"
SIMOB,"Simons bistro","Jytte Petersen",Owner
FAMIA,"Familia Arquibaldo","Aria Cruz","Marketing Assistant"
